date,commodity,value
2015-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",901
2015-01-01,Sugars and sugar confectionery,21991
2015-01-01,Tobacco and manufactured tobacco substitutes,544
2015-01-01,"Vegetable, fruit, nut, etc food preparations",11933
2016-01-01,"Animal,vegetable fats and oils, cleavage products, et",10844
2016-01-01,"Beverages, spirits and vinegar",29349
2016-01-01,"Cereal, flour, starch, milk preparations and products",12086
2016-01-01,Cereals,468074
2016-01-01,Cocoa and cocoa preparations,1061
2016-01-01,"Coffee, tea, mate and spices",721
2016-01-01,"Dairy products, eggs, honey, edible animal product nes",54721
2016-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",17824
2016-01-01,Edible vegetables and certain roots and tubers,67715
2016-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",3588
2016-01-01,Meat and edible meat offal,91583
2016-01-01,"Meat, fish and seafood food preparations nes",4811
2016-01-01,"Milling products, malt, starches, inulin, wheat glute",19697
2016-01-01,Miscellaneous edible preparations,13487
2016-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",3610
2016-01-01,Sugars and sugar confectionery,25094
2016-01-01,Tobacco and manufactured tobacco substitutes,445
2016-01-01,"Vegetable, fruit, nut, etc food preparations",13145
2017-01-01,"Animal,vegetable fats and oils, cleavage products, et",12861
2017-01-01,"Beverages, spirits and vinegar",24476
2017-01-01,"Cereal, flour, starch, milk preparations and products",11508
2017-01-01,Cereals,469846
2017-01-01,Cocoa and cocoa preparations,1259
2017-01-01,"Coffee, tea, mate and spices",691
2017-01-01,"Dairy products, eggs, honey, edible animal product nes",50076
2017-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",16690
2017-01-01,Edible vegetables and certain roots and tubers,63140
2017-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2999
2017-01-01,Meat and edible meat offal,89609
2017-01-01,"Meat, fish and seafood food preparations nes",5841
2017-01-01,"Milling products, malt, starches, inulin, wheat glute",19465
2017-01-01,Miscellaneous edible preparations,10362
2017-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",7317
2017-01-01,Sugars and sugar confectionery,22441
2017-01-01,Tobacco and manufactured tobacco substitutes,188
2017-01-01,"Vegetable, fruit, nut, etc food preparations",11561
2018-01-01,"Animal,vegetable fats and oils, cleavage products, et",14761
2018-01-01,"Beverages, spirits and vinegar",13535
2018-01-01,"Cereal, flour, starch, milk preparations and products",12540
2018-01-01,Cereals,582498
2018-01-01,Cocoa and cocoa preparations,1291
2018-01-01,"Coffee, tea, mate and spices",851
2018-01-01,"Dairy products, eggs, honey, edible animal product nes",59415
2018-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",20622
2018-01-01,Edible vegetables and certain roots and tubers,68488
2018-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2433
2018-01-01,Meat and edible meat offal,80108
2018-01-01,"Meat, fish and seafood food preparations nes",5887
2018-01-01,"Milling products, malt, starches, inulin, wheat glute",25273
2018-01-01,Miscellaneous edible preparations,11362
2018-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",9605
2018-01-01,Sugars and sugar confectionery,24184
2018-01-01,Tobacco and manufactured tobacco substitutes,499
2018-01-01,"Vegetable, fruit, nut, etc food preparations",10861
