name,commodity,date,value
Cook Islands,"Beverages, spirits and vinegar",1995-01-01,1717
Cook Islands,"Beverages, spirits and vinegar",1996-01-01,2013
Cook Islands,"Beverages, spirits and vinegar",1997-01-01,2364
Cook Islands,"Beverages, spirits and vinegar",1998-01-01,2101
Cook Islands,"Beverages, spirits and vinegar",1999-01-01,2240
Cook Islands,"Beverages, spirits and vinegar",2000-01-01,3138
Cook Islands,"Beverages, spirits and vinegar",2001-01-01,4215
Cook Islands,"Beverages, spirits and vinegar",2002-01-01,3157
Cook Islands,"Beverages, spirits and vinegar",2003-01-01,2850
Cook Islands,"Beverages, spirits and vinegar",2004-01-01,3365
Cook Islands,"Beverages, spirits and vinegar",2005-01-01,3490
Cook Islands,"Beverages, spirits and vinegar",2006-01-01,3497
Cook Islands,"Beverages, spirits and vinegar",2007-01-01,3845
Cook Islands,"Beverages, spirits and vinegar",2008-01-01,3431
Cook Islands,"Beverages, spirits and vinegar",2009-01-01,4089
Cook Islands,"Beverages, spirits and vinegar",2010-01-01,3669
Cook Islands,"Beverages, spirits and vinegar",2011-01-01,4399
Cook Islands,"Beverages, spirits and vinegar",2012-01-01,2332
Cook Islands,"Beverages, spirits and vinegar",2013-01-01,2170
Cook Islands,"Beverages, spirits and vinegar",2014-01-01,2373
Cook Islands,"Beverages, spirits and vinegar",2015-01-01,2314
Cook Islands,"Beverages, spirits and vinegar",2016-01-01,2167
Cook Islands,"Beverages, spirits and vinegar",2017-01-01,3778
Cook Islands,"Beverages, spirits and vinegar",2018-01-01,2522
Fiji,Cocoa and cocoa preparations,1995-01-01,322
Fiji,Cocoa and cocoa preparations,1996-01-01,351
Fiji,Cocoa and cocoa preparations,1997-01-01,338
Fiji,Cocoa and cocoa preparations,1998-01-01,334
Fiji,Cocoa and cocoa preparations,1999-01-01,405
Fiji,Cocoa and cocoa preparations,2000-01-01,304
Fiji,Cocoa and cocoa preparations,2001-01-01,460
Fiji,Cocoa and cocoa preparations,2002-01-01,436
Fiji,Cocoa and cocoa preparations,2003-01-01,387
Fiji,Cocoa and cocoa preparations,2004-01-01,530
Fiji,Cocoa and cocoa preparations,2005-01-01,614
Fiji,Cocoa and cocoa preparations,2006-01-01,728
Fiji,Cocoa and cocoa preparations,2007-01-01,519
Fiji,Cocoa and cocoa preparations,2008-01-01,493
Fiji,Cocoa and cocoa preparations,2009-01-01,411
Fiji,Cocoa and cocoa preparations,2010-01-01,344
Fiji,Cocoa and cocoa preparations,2011-01-01,327
Fiji,Cocoa and cocoa preparations,2012-01-01,347
Fiji,Cocoa and cocoa preparations,2013-01-01,258
Fiji,Cocoa and cocoa preparations,2014-01-01,254
Fiji,Cocoa and cocoa preparations,2015-01-01,304
Fiji,Cocoa and cocoa preparations,2016-01-01,377
Fiji,Cocoa and cocoa preparations,2017-01-01,404
Fiji,Cocoa and cocoa preparations,2018-01-01,444
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",1995-01-01,198
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",1996-01-01,121
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",1997-01-01,163
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",1998-01-01,291
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",1999-01-01,189
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",2000-01-01,226
Tonga,"Edible fruit, nuts, peel of citrus fruit, melons",2001-01-01,202
